Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total big chances saved_Total,total effective clearance_Total,total mins played,total accurate cross_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total aerial won_Total,total interception_Total,total assists_Total,total goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total big chances saved_p90,total effective clearance_p90,total accurate cross_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total aerial won_p90,total interception_p90,total assists_p90,total goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total big chances saved_TotalPR,total effective clearance_TotalPR,total accurate cross_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total aerial won_TotalPR,total interception_TotalPR,total assists_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total big chances saved_p90PR,total effective clearance_p90PR,total accurate cross_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total aerial won_p90PR,total interception_p90PR,total assists_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Aris,90z9l1k46z46ep9oupipgganh,4chqpn40707ti7pwwdmbagrf9,Fabiano,Fabiano Leismann,34,Defender,Brazil,Defender,72.0,52.0,18.0,123.0,0.0,15.0,270.0,1.0,2.0,7.0,7.0,0.0,1.0,1.0,1.0,17.0,4.0,12.0,1.0,1.0,3.0,10.0,2.0,0.0,2.0,0.0,84.25,66.67,33.33,100.0,57.14,65.38,76.92,60.0,0.8239868457666111,0.1416899252873626,0.0,1.0,0.01870347,0.0,12.0,15.0,0.54591846,82.0,24.0,17.333333333333332,6.0,41.0,0.0,5.0,0.3333333333333333,0.6666666666666666,2.333333333333333,2.333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.666666666666667,1.3333333333333333,4.0,0.3333333333333333,0.3333333333333333,1.0,3.333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,84.25,66.67,33.33,100.0,57.14,65.38,76.92,60.0,0.2746622819222037,0.0472299750957875,0.0,0.3333333333333333,0.00623449,0.0,4.0,5.0,0.18197282,27.33333333333333,CB,27,58,85,38,44,37,90,83,100,100,40,81,63,62,58,100,100,21,79,63,79,33,48,100,52,31,88,92,94,100,71,88,46,100,77,42,33,37,21,63,71,88,46,35,69,92,62,44,46,96,88,100,100,40,90,63,62,73,100,100,23,85,69,79,35,48,100,52,31,88,92,94,100,71,88,46,100,85,42,31,31,21,73,79,96,69,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,5690nxsvp1dlwyjpxls5g0vrp,G. Gianniotas,Giannis Gianniotas,33,Attacker,Greece,Striker,12.0,16.0,0.0,26.0,0.0,1.0,234.0,2.0,4.0,8.0,4.0,4.0,5.0,7.0,8.0,19.0,1.0,16.0,12.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,72.22,0.0,20.0,42.86,12.5,59.38,25.0,66.67,0.6462667920860651,0.3630967004709546,4.0,3.0,0.07807686,0.0,2.0,1.0,0.02587699,6.0,4.615384615384615,6.153846153846153,0.0,10.0,0.0,0.3846153846153846,0.7692307692307692,1.5384615384615383,3.0769230769230766,1.5384615384615383,1.5384615384615383,1.923076923076923,2.692307692307692,3.0769230769230766,7.3076923076923075,0.3846153846153846,6.153846153846153,4.615384615384615,1.1538461538461535,0.7692307692307692,0.3846153846153846,0.3846153846153846,0.0,0.0,0.0,72.22,0.0,20.0,42.86,12.5,59.38,25.0,66.67,0.2485641508023327,0.1396525771042133,1.5384615384615383,1.1538461538461535,0.0300295615384615,0.0,0.7692307692307692,0.3846153846153846,0.0099526884615384,2.3076923076923075,ST,35,26,11,20,52,30,78,63,61,41,98,98,70,76,70,28,78,85,65,57,17,67,43,30,52,54,11,65,52,22,91,28,59,57,70,91,52,48,17,30,24,9,17,43,22,11,30,52,30,83,70,61,52,100,100,78,87,83,30,83,100,83,65,22,78,43,30,52,54,11,65,52,22,91,28,59,57,70,91,57,52,17,30,30,9,17,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,5r7q0eg6pmoq0safxa9tnm5l,U. Račić,Uros Racic,28,Midfielder,Serbia,Midfielder,57.0,79.0,15.0,134.0,0.0,7.0,360.0,2.0,6.0,8.0,4.0,4.0,1.0,4.0,4.0,26.0,3.0,8.0,7.0,4.0,6.0,7.0,3.0,1.0,1.0,0.0,77.91,71.43,66.67,100.0,37.5,60.47,50.0,75.0,0.4337415696077343,0.5677422565198111,3.0,8.0,0.1639483,3.0,16.0,23.0,0.71848776,71.0,14.25,19.75,3.75,33.5,0.0,1.75,0.5,1.5,2.0,1.0,1.0,0.25,1.0,1.0,6.5,0.75,2.0,1.75,1.0,1.5,1.75,0.75,0.25,0.25,0.0,77.91,71.43,66.67,100.0,37.5,60.47,50.0,75.0,0.1084353924019335,0.1419355641299527,0.75,2.0,0.040987075,0.75,4.0,5.75,0.17962194,17.75,DM/CM,44,62,69,59,53,81,88,91,100,97,94,66,75,75,88,97,97,81,94,84,94,53,94,91,50,6,62,88,94,62,94,53,75,94,94,94,88,75,66,56,94,100,62,38,44,56,34,53,69,81,88,100,94,88,50,62,56,88,97,94,69,88,81,94,41,88,84,50,6,62,88,94,62,94,53,75,94,88,94,81,69,50,44,88,100,38,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,9bzlvn0twr2b5z30k30gugw5x,F. Jensen,Fredrik Jensen,29,Midfielder,Finland,Midfielder,96.0,50.0,16.0,146.0,0.0,12.0,360.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,83.43,50.0,0.0,0.0,100.0,29.17,20.0,100.0,0.0780618243182397,0.0,0.0,4.0,0.08787296,1.0,10.0,10.0,0.2624832699999999,92.0,24.0,12.5,4.0,36.5,0.0,3.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.75,0.25,0.5,0.25,0.0,1.0,0.5,1.0,0.0,0.0,0.0,83.43,50.0,0.0,0.0,100.0,29.17,20.0,100.0,0.0195154560795599,0.0,0.0,1.0,0.02196824,0.25,2.5,2.5,0.0656208174999999,23.0,CM/AM,93,30,100,73,53,100,17,10,7,13,13,17,10,10,7,37,7,13,10,83,50,77,37,37,53,73,43,17,10,100,7,20,90,7,10,17,23,20,7,50,33,27,93,93,13,100,73,53,100,17,10,7,7,13,17,10,10,7,27,7,13,10,60,33,60,37,37,53,73,43,17,10,100,7,20,90,7,10,17,20,20,7,33,20,13,73,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,9l3a8zfatjdrisaslslrcygo9,T. Dele-Bashiru,Tom Dele-Bashiru,26,Midfielder,Nigeria,Midfielder,80.0,33.0,6.0,113.0,0.0,3.0,270.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,14.0,0.0,3.0,5.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,86.92,75.0,0.0,0.0,0.0,63.64,66.67,60.0,0.1495495500263005,0.1060888068638628,1.0,4.0,0.0923379,1.0,3.0,5.0,0.0889359999999999,45.0,26.666666666666668,11.0,2.0,37.66666666666666,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,4.666666666666667,0.0,1.0,1.6666666666666667,0.0,1.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,86.92,75.0,0.0,0.0,0.0,63.64,66.67,60.0,0.0498498500087668,0.0353629356212875,0.3333333333333333,1.3333333333333333,0.0307793,0.3333333333333333,1.0,1.6666666666666667,0.0296453333333333,15.0,DM/CM,75,12,38,38,53,41,25,34,56,69,44,88,9,9,50,25,53,47,12,53,81,28,44,41,50,44,72,25,12,25,100,81,56,56,19,53,34,31,19,9,12,6,25,88,12,44,50,53,38,25,31,56,69,56,88,9,9,56,25,50,50,12,56,88,25,44,41,50,44,72,25,12,25,100,81,56,56,19,69,31,38,19,6,12,6,19,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,adanuzztvgemcbqa2xwupdcdl,O. Richards,Omar Richards,28,Defender,England,Defender,58.0,36.0,2.0,93.0,0.0,8.0,270.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,16.0,0.0,1.0,8.0,1.0,4.0,2.0,8.0,0.0,0.0,0.0,83.04,18.18,25.0,33.33,0.0,55.17,33.33,66.67,0.0,0.0951012620388968,0.0,4.0,0.0813928499999999,1.0,3.0,4.0,0.1881075999999999,42.0,19.33333333333333,12.0,0.6666666666666666,31.0,0.0,2.6666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,1.0,5.333333333333333,0.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.0,0.0,0.0,83.04,18.18,25.0,33.33,0.0,55.17,33.33,66.67,0.0,0.0317004206796322,0.0,1.3333333333333333,0.0271309499999999,0.3333333333333333,1.0,1.3333333333333333,0.0627025333333333,14.0,LB/LCB,46,23,12,31,54,65,38,35,19,27,42,46,58,58,65,38,19,77,54,65,42,92,42,54,54,62,8,58,46,38,35,35,65,19,46,38,58,62,46,23,23,31,27,62,15,8,54,54,85,38,38,19,27,42,46,65,65,69,38,23,100,54,85,46,92,42,54,54,62,8,58,46,38,35,35,65,19,46,38,69,54,46,23,23,38,54,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,dtwucfdzry9f0x7mw3ssll4vd,B. Garré,Benjamín Garré,26,Midfielder,Argentina,Midfielder,30.0,66.0,3.0,89.0,0.0,1.0,346.0,7.0,7.0,7.0,4.0,3.0,5.0,15.0,15.0,26.0,1.0,12.0,12.0,6.0,2.0,3.0,0.0,1.0,0.0,0.0,79.46,50.0,28.0,40.0,14.29,40.62,33.33,40.0,0.4044081568948381,0.8403292159319309,3.0,11.0,0.35204254,5.0,7.0,10.0,0.6347394100000001,37.0,7.803468208092485,17.167630057803468,0.7803468208092486,23.15028901734104,0.0,0.2601156069364161,1.8208092485549128,1.8208092485549128,1.8208092485549128,1.0404624277456649,0.7803468208092486,1.300578034682081,3.9017341040462425,3.9017341040462425,6.763005780346821,0.2601156069364161,3.121387283236994,3.121387283236994,1.560693641618497,0.5202312138728323,0.7803468208092486,0.0,0.2601156069364161,0.0,0.0,79.46,50.0,28.0,40.0,14.29,40.62,33.33,40.0,0.1051928731807382,0.2185827440285369,0.7803468208092486,2.861271676300578,0.0915717589595375,1.300578034682081,1.8208092485549128,2.601156069364162,0.1651056268786127,9.624277456647398,RM/RCM,50,100,50,75,62,38,100,100,100,100,75,100,100,100,100,50,100,100,100,62,62,38,88,38,62,100,75,75,75,50,50,50,50,100,100,100,75,100,100,50,50,100,38,50,75,50,75,62,25,100,100,75,100,75,100,100,100,100,50,100,100,100,50,50,38,75,38,62,100,75,75,75,50,50,50,50,75,100,100,75,75,75,25,50,100,25,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,39p17ticzr4pgizdra4e9vca1,G. Kotsiras,Giannis Kotsiras,33,Defender,Greece,Defender,55.0,92.0,7.0,142.0,0.0,16.0,346.0,5.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,18.0,0.0,2.0,3.0,1.0,5.0,6.0,4.0,0.0,0.0,0.0,78.45,30.43,45.45,100.0,0.0,60.0,60.0,62.5,0.0599321627311404,0.3830520452072667,0.0,13.0,0.29350178,8.0,20.0,23.0,0.9538376400000002,85.0,14.30635838150289,23.930635838150287,1.8208092485549128,36.93641618497109,0.0,4.161849710982659,1.300578034682081,1.0404624277456649,0.2601156069364161,0.2601156069364161,0.0,0.2601156069364161,0.2601156069364161,0.2601156069364161,4.682080924855491,0.0,0.5202312138728323,0.7803468208092486,0.2601156069364161,1.300578034682081,1.560693641618497,1.0404624277456649,0.0,0.0,0.0,78.45,30.43,45.45,100.0,0.0,60.0,60.0,62.5,0.0155892908838226,0.0996378152273237,0.0,3.3815028901734103,0.0763443936416184,2.0809248554913293,5.202312138728324,5.982658959537572,0.2481080566473988,22.10982658959537,CB,15,88,35,54,44,44,100,100,33,46,40,81,63,62,71,42,38,56,79,88,46,69,48,48,52,8,15,96,94,42,58,50,54,27,100,42,100,100,100,92,90,100,50,12,85,35,38,44,38,100,100,38,50,40,77,58,58,62,42,38,54,77,85,46,65,48,48,52,8,15,96,94,42,58,50,54,27,100,42,100,100,100,88,92,100,38,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,3lmsvkv37p1dv30tr9ufnuh1x,J. Silva,Jordan Silva,32,Defender,Mexico,Defender,91.0,31.0,13.0,122.0,0.0,19.0,270.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,20.0,0.0,7.0,0.0,0.0,4.0,14.0,2.0,0.0,0.0,0.0,90.37,56.52,0.0,0.0,0.0,71.43,73.68,66.67,0.5314968349109512,0.0,0.0,0.0,0.0,1.0,11.0,13.0,0.1776822299999998,76.0,30.33333333333333,10.333333333333334,4.333333333333333,40.66666666666666,0.0,6.333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,6.666666666666667,0.0,2.333333333333333,0.0,0.0,1.3333333333333333,4.666666666666667,0.6666666666666666,0.0,0.0,0.0,90.37,56.52,0.0,0.0,0.0,71.43,73.68,66.67,0.1771656116369837,0.0,0.0,0.0,0.0,0.3333333333333333,3.6666666666666665,4.333333333333333,0.0592274099999999,25.33333333333333,CB,46,19,58,35,44,63,42,17,90,90,40,33,27,27,87,42,92,10,35,79,94,33,48,48,52,81,58,42,35,42,88,77,63,92,21,42,13,13,54,52,58,31,38,65,23,79,58,44,69,42,17,92,92,40,33,27,27,90,42,96,10,35,88,100,35,48,48,52,81,58,42,35,42,88,77,63,92,21,42,13,13,62,65,69,38,65,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,47ylq6brajesullr91xionj6x,Eder González,Eder González,29,Midfielder,Spain,Midfielder,62.0,76.0,17.0,133.0,0.0,4.0,331.0,5.0,7.0,1.0,0.0,1.0,1.0,4.0,4.0,21.0,0.0,5.0,6.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,84.71,68.0,41.67,50.0,0.0,52.5,12.5,50.0,0.0449525091160211,0.6442448183068665,1.0,7.0,0.16839943,2.0,15.0,14.0,0.5867250999999999,68.0,16.858006042296072,20.664652567975832,4.622356495468278,36.16314199395771,0.0,1.0876132930513596,1.3595166163141994,1.9033232628398795,0.2719033232628399,0.0,0.2719033232628399,0.2719033232628399,1.0876132930513596,1.0876132930513596,5.709969788519638,0.0,1.3595166163141994,1.6314199395770397,0.5438066465256798,1.6314199395770397,0.2719033232628399,0.0,0.0,0.0,0.0,84.71,68.0,41.67,50.0,0.0,52.5,12.5,50.0,0.0122227366176492,0.1751723070925014,0.2719033232628399,1.9033232628398795,0.0457883646525679,0.5438066465256798,4.078549848942599,3.806646525679759,0.159532504531722,18.48942598187311,DM/CM,50,56,81,50,53,50,100,100,25,25,44,66,75,75,81,25,78,62,59,84,28,9,44,41,50,25,53,75,47,25,62,31,34,19,100,53,75,88,41,50,50,88,50,44,50,81,44,53,50,100,94,22,25,41,59,69,62,69,25,72,44,56,88,19,9,44,41,50,25,53,75,47,25,62,31,34,19,100,53,75,81,44,50,38,88,44,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,5nxmltm4foygghvpnqud9rfmd,F. Brorsson,Franz Brorsson,30,Defender,Sweden,Defender,73.0,33.0,2.0,106.0,1.0,17.0,244.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,11.0,0.0,4.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,88.33,20.0,0.0,0.0,0.0,47.83,66.67,66.67,0.257321678195871,0.2164968928225235,0.0,1.0,0.01870347,0.0,2.0,3.0,0.07787874,41.0,26.92622950819672,12.172131147540982,0.7377049180327868,39.0983606557377,0.3688524590163934,6.270491803278688,0.0,0.7377049180327868,0.7377049180327868,0.7377049180327868,0.0,0.0,0.3688524590163934,0.3688524590163934,4.057377049180328,0.0,1.4754098360655736,0.0,0.0,0.7377049180327868,2.950819672131148,0.7377049180327868,0.0,0.0,0.0,88.33,20.0,0.0,0.0,0.0,47.83,66.67,66.67,0.094913733760772,0.0798554112869963,0.0,0.3688524590163934,0.0068988209016393,0.0,0.7377049180327868,1.1065573770491803,0.0287257647540983,15.12295081967213,CB,33,23,8,23,94,52,42,83,56,67,40,33,63,62,17,42,65,10,35,38,58,33,48,48,52,62,8,42,35,42,23,73,63,69,92,42,33,37,21,10,12,8,13,50,38,8,46,96,65,42,92,65,77,40,33,69,65,42,42,81,10,35,46,73,42,48,48,52,62,8,42,35,42,23,73,63,81,96,42,35,38,21,8,15,8,15,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,603w7gqz9xm0ines0oq74qwb8,Ricardinho,Ricardo Viana Filho,25,Attacker,Brazil,Striker,12.0,17.0,2.0,28.0,0.0,1.0,226.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,20.0,2.0,9.0,6.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,63.64,40.0,33.33,0.0,66.67,48.78,46.67,0.0,0.3637298222981716,0.2379618808997912,0.0,2.0,0.13190251,1.0,4.0,0.0,0.2214708699999999,9.0,4.778761061946903,6.769911504424779,0.7964601769911505,11.150442477876108,0.0,0.3982300884955752,0.3982300884955752,0.7964601769911505,1.1946902654867255,1.1946902654867255,0.0,0.0,0.3982300884955752,0.3982300884955752,7.964601769911504,0.7964601769911505,3.584070796460177,2.3893805309734515,0.0,0.0,5.575221238938053,0.0,0.3982300884955752,0.0,0.0,63.64,40.0,33.33,0.0,66.67,48.78,46.67,0.0,0.1448481593222807,0.0947635808892973,0.0,0.7964601769911505,0.0525275482300885,0.3982300884955752,1.592920353982301,0.0,0.088196364159292,3.584070796460177,ST,35,30,59,33,52,30,63,46,20,28,17,13,9,9,74,48,39,54,11,15,96,28,89,30,52,26,52,83,11,93,65,65,15,26,61,15,35,74,48,63,9,65,30,48,39,65,39,52,35,65,48,17,35,17,13,13,13,87,52,48,65,11,15,96,28,91,30,52,26,52,83,11,93,65,65,15,26,61,15,43,78,52,78,9,65,43,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,adf0kuzhmx6ywoyamymmvcyjt,J. Bartolo,Julián Bartolo,30,Midfielder,Argentina,Midfielder,8.0,50.0,4.0,53.0,0.0,1.0,224.0,5.0,8.0,8.0,3.0,5.0,1.0,10.0,10.0,11.0,5.0,9.0,3.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,77.94,66.67,20.0,40.0,62.5,32.35,14.29,66.67,0.544065035905422,0.9634536351376966,4.0,7.0,0.19316498,3.0,9.0,8.0,0.2778203699999999,30.0,3.2142857142857144,20.089285714285715,1.6071428571428572,21.294642857142858,0.0,0.4017857142857143,2.008928571428571,3.2142857142857144,3.2142857142857144,1.2053571428571428,2.008928571428571,0.4017857142857143,4.017857142857142,4.017857142857142,4.419642857142857,2.008928571428571,3.616071428571429,1.2053571428571428,1.6071428571428572,0.8035714285714286,0.4017857142857143,0.0,0.0,0.4017857142857143,0.0,77.94,66.67,20.0,40.0,62.5,32.35,14.29,66.67,0.2185975590691427,0.3871019069749674,1.6071428571428572,2.8125,0.0776109294642857,1.2053571428571428,3.616071428571429,3.2142857142857144,0.1116242558035714,12.053571428571429,CM/AM,7,30,33,13,53,43,73,77,73,60,93,47,93,93,17,100,53,33,93,40,20,17,37,83,53,33,67,33,33,87,13,13,67,60,87,87,40,40,50,40,23,40,20,7,53,40,13,53,53,87,93,87,73,100,60,93,93,40,100,73,40,93,47,27,17,37,87,53,33,67,33,33,87,13,13,67,80,93,93,60,73,67,60,33,60,40,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,b1o797a6gxohsv92t5ebw4lm2,Alex Méndez,Alejandro Méndez García,25,Defender,Spain,Defender,65.0,60.0,11.0,123.0,0.0,8.0,360.0,2.0,0.0,4.0,4.0,0.0,0.0,3.0,3.0,16.0,1.0,8.0,6.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,83.67,68.75,15.38,0.0,25.0,55.17,62.5,80.0,0.3377212119291798,0.0,1.0,4.0,0.0744398999999999,1.0,15.0,15.0,0.2336776299999999,52.0,16.25,15.0,2.75,30.75,0.0,2.0,0.5,0.0,1.0,1.0,0.0,0.0,0.75,0.75,4.0,0.25,2.0,1.5,0.0,1.0,1.25,1.0,0.0,0.0,0.0,83.67,68.75,15.38,0.0,25.0,55.17,62.5,80.0,0.0844303029822949,0.0,0.25,1.0,0.0186099749999999,0.25,3.75,3.75,0.0584194074999999,13.0,LB/LCB,54,73,88,69,54,65,58,15,88,100,42,46,58,58,65,85,100,69,23,65,88,62,42,54,54,69,100,31,23,85,35,92,77,100,19,81,58,46,46,92,92,46,54,38,42,85,46,54,42,54,15,85,100,42,46,46,46,54,81,96,69,23,54,81,50,42,54,54,69,100,31,23,85,35,92,77,100,19,77,46,38,38,92,77,31,31,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,bry8rw5hvwptdub271s176tat,D. Kourbelis,Dimitrios Kourbelis,32,Midfielder,Greece,Midfielder,77.0,90.0,17.0,166.0,0.0,16.0,344.0,1.0,4.0,5.0,4.0,1.0,3.0,2.0,2.0,28.0,1.0,8.0,7.0,0.0,4.0,15.0,4.0,0.0,0.0,0.0,87.37,68.0,100.0,0.0,20.0,52.83,88.24,66.67,0.4926538461103937,0.3197366422163136,1.0,7.0,0.14939881,5.0,25.0,26.0,0.5532538300000001,101.0,20.1453488372093,23.546511627906977,4.447674418604651,43.43023255813953,0.0,4.186046511627906,0.2616279069767441,1.0465116279069766,1.3081395348837208,1.0465116279069766,0.2616279069767441,0.7848837209302325,0.5232558139534883,0.5232558139534883,7.325581395348837,0.2616279069767441,2.093023255813953,1.8313953488372088,0.0,1.0465116279069766,3.924418604651162,1.0465116279069766,0.0,0.0,0.0,87.37,68.0,100.0,0.0,20.0,52.83,88.24,66.67,0.1288919946219053,0.0836520284868262,0.2616279069767441,1.8313953488372088,0.0390868979651162,1.3081395348837208,6.540697674418604,6.8023255813953485,0.1447466415697674,26.42441860465116,DM/CM,69,88,81,84,53,100,62,75,91,97,44,97,31,28,100,69,97,81,12,72,100,75,44,41,50,56,53,97,12,50,69,100,69,100,75,53,75,62,94,94,100,81,100,62,81,69,75,53,94,56,75,81,100,31,94,19,19,100,56,100,75,12,62,100,62,44,41,50,56,53,97,12,50,69,100,69,100,69,38,69,62,75,94,94,75,88,Greek Super League
Asteras Tripolis,c53eublb5ds9v1rlscm8x39pq,ctbam05ooiz884acji3rlokx5,K. Ketu,Kalvin Ketu,29,Attacker,Cameroon,Striker,13.0,33.0,1.0,46.0,0.0,5.0,265.0,0.0,6.0,5.0,4.0,1.0,0.0,4.0,5.0,17.0,4.0,11.0,8.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,77.97,33.33,0.0,50.0,80.0,43.59,33.33,66.67,0.376020793715901,0.5615652299259418,0.0,5.0,0.18030332,2.0,3.0,5.0,0.375389,13.0,4.415094339622641,11.20754716981132,0.3396226415094339,15.62264150943396,0.0,1.6981132075471697,0.0,2.037735849056604,1.6981132075471697,1.3584905660377358,0.3396226415094339,0.0,1.3584905660377358,1.6981132075471697,5.773584905660377,1.3584905660377358,3.735849056603773,2.7169811320754715,0.6792452830188679,0.6792452830188679,1.3584905660377358,0.6792452830188679,0.0,0.0,0.0,77.97,33.33,0.0,50.0,80.0,43.59,33.33,66.67,0.1277051752242682,0.1907202667673009,0.0,1.6981132075471697,0.0612350898113207,0.6792452830188679,1.018867924528302,1.6981132075471697,0.1274906037735849,4.415094339622641,LW,20,40,50,40,60,80,30,80,80,90,40,40,40,40,80,90,60,80,50,100,90,40,50,50,60,20,50,30,90,100,80,20,60,80,80,20,40,40,30,40,40,80,40,20,40,40,40,60,80,30,80,80,100,40,40,40,40,80,100,60,80,40,100,80,40,50,50,60,20,50,30,90,100,80,20,60,80,80,20,20,60,20,40,40,60,20,Greek Super League
